INFORMATION_NEED	105-5
precision	0.378
recall	0.567
f1	0.453
prec@10	0.600
avg_prec	0.631
recall_precision
0.033	1.000
0.067	1.000
0.100	0.750
0.133	0.800
0.167	0.714
0.200	0.600
0.233	0.583
0.267	0.533
0.300	0.500
0.333	0.526
0.367	0.550
0.400	0.571
0.433	0.591
0.467	0.560
0.500	0.500
0.533	0.500
0.567	0.447
interpolated_recall_precision
0.000	1.000
0.100	0.800
0.200	0.600
0.300	0.591
0.400	0.591
0.500	0.500
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	106-4
precision	0.244
recall	0.208
f1	0.224
prec@10	0.400
avg_prec	0.441
recall_precision
0.019	1.000
0.038	1.000
0.057	0.375
0.075	0.444
0.094	0.455
0.113	0.286
0.132	0.304
0.151	0.250
0.170	0.237
0.189	0.250
0.208	0.250
interpolated_recall_precision
0.000	1.000
0.100	0.304
0.200	0.250
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	107-2
precision	0.733
recall	0.478
f1	0.579
prec@10	0.800
avg_prec	0.833
recall_precision
0.014	1.000
0.029	1.000
0.043	1.000
0.058	1.000
0.072	1.000
0.087	1.000
0.101	1.000
0.116	0.889
0.130	0.818
0.145	0.833
0.159	0.846
0.174	0.857
0.188	0.812
0.203	0.824
0.217	0.833
0.232	0.842
0.246	0.810
0.261	0.818
0.275	0.826
0.290	0.833
0.304	0.840
0.319	0.815
0.333	0.742
0.348	0.727
0.362	0.735
0.377	0.722
0.391	0.730
0.406	0.718
0.420	0.707
0.435	0.714
0.449	0.721
0.464	0.727
0.478	0.733
interpolated_recall_precision
0.000	1.000
0.100	1.000
0.200	0.842
0.300	0.840
0.400	0.733
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	109-2
precision	0.489
recall	0.579
f1	0.530
prec@10	0.900
avg_prec	0.803
recall_precision
0.026	1.000
0.053	1.000
0.079	1.000
0.105	1.000
0.132	1.000
0.158	1.000
0.184	1.000
0.211	1.000
0.237	1.000
0.263	0.909
0.289	0.917
0.316	0.750
0.342	0.765
0.368	0.778
0.395	0.625
0.421	0.615
0.447	0.630
0.474	0.621
0.500	0.543
0.526	0.541
0.553	0.477
0.579	0.489
interpolated_recall_precision
0.000	1.000
0.100	1.000
0.200	1.000
0.300	0.778
0.400	0.630
0.500	0.543
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	208-1
precision	0.333
recall	0.319
f1	0.326
prec@10	0.600
avg_prec	0.557
recall_precision
0.021	1.000
0.043	0.667
0.064	0.750
0.085	0.800
0.106	0.833
0.128	0.667
0.149	0.412
0.170	0.421
0.191	0.409
0.213	0.435
0.234	0.458
0.255	0.400
0.277	0.406
0.298	0.359
0.319	0.333
interpolated_recall_precision
0.000	1.000
0.100	0.833
0.200	0.458
0.300	0.333
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

TOTAL
precision	0.436
recall	0.430
f1	0.433
prec@10	0.660
MAP	0.653
interpolated_recall_precision
0.000	1.000
0.100	0.788
0.200	0.630
0.300	0.508
0.400	0.391
0.500	0.209
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

